event_index,timestamp_s,foot_index,foot_name,is_new_contact,body_x,body_y,body_z
134,11.705756902695,2,RL,1,-0.439523220062,0.116118595004,-0.431583911180
135,11.816183090210,1,FR,0,0.063258387148,-0.085469454527,-0.430099248886
135,11.816183090210,2,RL,0,-0.544882893562,0.116062194109,-0.416319727898
136,11.928134679794,1,FR,0,0.010139804333,-0.080940335989,-0.427183151245
136,11.928134679794,2,RL,0,-0.598097026348,0.119637914002,-0.415193587542
137,12.037962675095,1,FR,0,-0.057486392558,-0.077052861452,-0.430967777967
137,12.037962675095,2,RL,0,-0.662828326225,0.131798431277,-0.414718061686
138,12.145736932755,1,FR,0,-0.151919901371,-0.047392338514,-0.416249454021
138,12.145736932755,2,RL,0,-0.761615633965,0.149974703789,-0.402698755264
139,12.153981924057,0,FL,1,0.166967496276,0.024846047163,-0.437472164631
139,12.153981924057,3,RR,1,-0.452691525221,-0.164718762040,-0.422036826611
140,12.255872249603,0,FL,0,0.084009550512,0.039350613952,-0.424200206995
140,12.255872249603,3,RR,0,-0.531239330769,-0.148562699556,-0.411407977343
141,12.362573146820,0,FL,0,0.022689975798,0.051180109382,-0.420109063387
141,12.362573146820,3,RR,0,-0.596513688564,-0.138204291463,-0.405789345503
142,12.469218492508,0,FL,0,-0.042773813009,0.060790784657,-0.424028366804
142,12.469218492508,3,RR,0,-0.664037764072,-0.138878703117,-0.402871131897
143,12.593998670578,0,FL,0,-0.114685580134,0.052508965135,-0.414847820997
143,12.593998670578,3,RR,0,-0.735409080982,-0.134132951498,-0.395050257444
144,12.636634111404,0,FL,0,-0.164298310876,0.044632121921,-0.402624487877
144,12.636634111404,1,FR,1,0.170193761587,-0.052366249263,-0.438903123140
144,12.636634111404,2,RL,1,-0.440792560577,0.146855548024,-0.420373797417
144,12.636634111404,3,RR,0,-0.782732963562,-0.143308773637,-0.383269309998
145,12.745789527893,1,FR,0,0.083694234490,-0.067013099790,-0.426263481379
145,12.745789527893,2,RL,0,-0.525778412819,0.136004626751,-0.408838182688
146,12.856606721878,1,FR,0,0.013802617788,-0.065727621317,-0.422230005264
146,12.856606721878,2,RL,0,-0.596773266792,0.134187877178,-0.406286299229
147,12.960231304169,1,FR,0,-0.064049348235,-0.066058956087,-0.426598668098
147,12.960231304169,2,RL,0,-0.673790693283,0.134873241186,-0.410805672407
148,13.069243431091,1,FR,0,-0.130731672049,-0.055325813591,-0.419775485992
148,13.069243431091,2,RL,0,-0.742517173290,0.139822050929,-0.407944679260
149,13.104168176651,0,FL,1,0.178265020251,0.049956455827,-0.446772396564
149,13.104168176651,3,RR,1,-0.463082671165,-0.156592011452,-0.416433781385
150,13.210247516632,0,FL,0,0.097545757890,0.060086980462,-0.436953067780
150,13.210247516632,3,RR,0,-0.544046461582,-0.148298978806,-0.409805774689
151,13.311595916748,0,FL,0,0.022330731153,0.059517383575,-0.438498914242
151,13.311595916748,3,RR,0,-0.617529869080,-0.142841085792,-0.409749954939
152,13.421545505524,0,FL,0,-0.051938652992,0.062162958086,-0.443203508854
152,13.421545505524,3,RR,0,-0.690839290619,-0.145296901464,-0.411611646414
153,13.526178359985,0,FL,0,-0.142954602838,0.043036155403,-0.426617920399
153,13.526178359985,3,RR,0,-0.780832409859,-0.156910210848,-0.398909389973
154,13.529402971268,1,FR,1,0.175676092505,-0.047726310790,-0.453090906143
154,13.529402971268,2,RL,1,-0.448027074337,0.154624596238,-0.428323984146
155,13.631412267685,1,FR,0,0.102732554078,-0.061734579504,-0.437441319227
155,13.631412267685,2,RL,0,-0.519429385662,0.143463492393,-0.421404629946
156,13.738236188889,1,FR,0,0.055233411491,-0.069102004170,-0.425718992949
156,13.738236188889,2,RL,0,-0.567117154598,0.135162338614,-0.426254987717
157,13.839005708694,1,FR,0,0.017445269972,-0.072539284825,-0.417342841625
157,13.839005708694,2,RL,0,-0.606675863266,0.125496327877,-0.440004080534
158,13.941496610641,1,FR,0,-0.028128938749,-0.069599948823,-0.412603348494
158,13.941496610641,2,RL,0,-0.648509204388,0.129191085696,-0.465877473354
159,14.005496501923,0,FL,1,0.155589833856,0.052767194808,-0.513979077339
159,14.005496501923,1,FR,0,-0.049942035228,-0.061474882066,-0.406196385622
159,14.005496501923,2,RL,0,-0.668144941330,0.137399747968,-0.477159082890
160,14.018070459366,0,FL,0,0.145848676562,0.058146618307,-0.510207891464
160,14.018070459366,3,RR,1,-0.380870044231,-0.144874513149,-0.448933005333
161,14.121212482452,0,FL,0,0.105728924274,0.061768978834,-0.491856396198
161,14.121212482452,3,RR,0,-0.423909664154,-0.137349322438,-0.461972743273
162,14.225481271744,0,FL,0,0.060791939497,0.070022918284,-0.478924989700
162,14.225481271744,3,RR,0,-0.473181843758,-0.131163939834,-0.484307229519
163,14.258666992188,1,FR,1,0.168938845396,-0.094640284777,-0.524630784988
163,14.258666992188,2,RL,1,-0.354189097881,0.098815731704,-0.527605175972
164,14.359537601471,1,FR,0,0.128410965204,-0.108739346266,-0.503404915333
164,14.359537601471,2,RL,0,-0.393363416195,0.084348842502,-0.543880045414
165,14.470928192139,1,FR,0,0.097121618688,-0.122777141631,-0.492500007153
165,14.470928192139,2,RL,0,-0.422208160162,0.068292260170,-0.558706343174
166,14.573678016663,1,FR,0,0.057222027332,-0.145630061626,-0.484389603138
166,14.573678016663,2,RL,0,-0.457959949970,0.052204564214,-0.573587834835
167,14.621767759323,0,FL,1,0.286011308432,0.148218557239,-0.521135687828
